City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,Urengoy,65.9667,78.3667,-21.19,100,90,1.92,RU,1677442939
217,Pesca,5.55,-73.05,17.69,51,99,3.38,CO,1677442939
218,Nhulunbuy,-12.2333,136.7667,25.34,94,100,0.0,AU,1677442940
219,Santana do Acaraú,-3.4606,-40.2122,30.26,57,100,3.33,BR,1677442941
220,Nador,35.174,-2.9287,14.14,67,0,6.17,MA,1677442942
221,Port Hedland,-20.3167,118.5667,27.03,89,63,1.03,AU,1677442943
222,Novikovo,51.1537,37.8879,0.03,95,100,2.73,RU,1677442944
223,Abu Samrah,35.3029,37.1841,13.78,52,0,2.61,SY,1677442945
224,Mitsamiouli,-11.3847,43.2844,26.81,77,99,2.63,KM,1677442946
225,Tari,12.4086,4.4914,30.52,11,41,2.73,NG,1677442947
226,Nyrob,60.733,56.7202,-3.5,96,100,4.74,RU,1677442947
227,Qaqortoq,60.7167,-46.0333,-8.23,77,100,1.84,GL,1677442948
228,Bangangté,5.1409,10.5198,19.31,81,61,3.24,CM,1677442948
229,Havre-St-Pierre,50.2334,-63.5986,-11.0,48,0,6.17,CA,1677442782
230,Gizo Government Station,-8.103,156.8419,28.3,76,100,2.96,SB,1677442949
231,Biak,-0.9131,122.8766,24.61,79,98,1.46,ID,1677442950
232,Khatanga,71.9667,102.5,-27.12,86,100,7.04,RU,1677442951
233,Olafsvik,64.8945,-23.7142,6.31,88,100,9.5,IS,1677442952
234,Dāmghān,36.1683,54.348,9.01,60,0,1.15,IR,1677442953
235,Nizhniy Kuranakh,58.8353,125.4869,-10.8,89,100,5.1,RU,1677442953
236,Gua,22.2,85.3833,18.0,60,0,1.08,IN,1677442954
237,São João da Barra,-21.6403,-41.0511,30.05,83,14,7.91,BR,1677442955
238,Gamba,-2.65,10.0,24.75,90,100,3.43,GA,1677442956
239,Los Llanos de Aridane,28.6585,-17.9182,15.86,91,0,1.54,ES,1677442956
240,Bud,39.447,-86.1758,15.42,51,100,2.69,US,1677442957
241,Ganta,7.3022,-8.5308,22.22,88,99,0.46,LR,1677442958
